Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
12395,Journey to the End of the Night,Louis-Ferdinand Céline,"Céline, Louis-Ferdinand","Ralph Manheim, Angela Cismaş, William T. Vollmann","=""0811216543""","=""9780811216548""",0,4.21,New Directions,Paperback,453,2006,1932,,2016/03/22,to-read,to-read (#94),to-read,,,,0,,,0,,,,,
12749,Swann's Way,Marcel Proust,"Proust, Marcel",Lydia Davis,"=""0142437964""","=""9780142437964""",0,4.13,Penguin Classics,Paperback,444,2004,1913,,2016/03/22,to-read,to-read (#93),to-read,,,,0,,,0,,,,,
25622780,Wide Sargasso Sea,Jean Rhys,"Rhys, Jean",Andrea Ashworth,"=""0393352560""","=""9780393352566""",0,3.60,W. W. Norton  Company,Paperback,176,2016,1966,,2016/03/22,to-read,to-read (#92),to-read,,,,0,,,0,,,,,
31072,Under the Volcano,Malcolm Lowry,"Lowry, Malcolm",,"=""0060955228""","=""9780060955229""",0,3.78,Harper Perennial,Paperback,423,2000,1947,,2016/03/22,to-read,to-read (#91),to-read,,,,0,,,0,,,,,
11324,Under the Net,Iris Murdoch,"Murdoch, Iris",,"=""0140014454""","=""9780140014457""",0,3.77,Penguin Books Ltd,Paperback,252,1982,1954,,2016/03/22,to-read,to-read (#90),to-read,,,,0,,,0,,,,,
249,"Tropic of Cancer (Tropic, #1)",Henry Miller,"Miller, Henry",,"=""0802131786""","=""9780802131782""",0,3.68,Grove Press,Paperback,318,1994,1934,,2016/03/22,to-read,to-read (#89),to-read,,,,0,,,0,,,,,
37781,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"Achebe, Chinua",,"=""""","=""""",0,3.71,Anchor Books,Paperback,209,1994,1958,,2016/03/22,to-read,to-read (#88),to-read,,,,0,,,0,,,,,
10975,The Sound and the Fury,William Faulkner,"Faulkner, William",,"=""""","=""""",0,3.86,Vintage International,Paperback,366,1990,1929,,2016/03/22,to-read,to-read (#87),to-read,,,,0,,,0,,,,,
24835,The Sot-Weed Factor,John Barth,"Barth, John",,"=""1903809509""","=""9781903809501""",0,4.10,Atlantic Books (UK),Paperback,756,2005,1960,,2016/03/22,to-read,to-read (#86),to-read,,,,0,,,0,,,,,
243598,The Sheltering Sky,Paul Bowles,"Bowles, Paul",,"=""0141023422""","=""9780141023427""",0,3.90,Penguin Group,Paperback,342,2007,1949,,2016/03/22,to-read,to-read (#85),to-read,,,,0,,,0,,,,,
7805,Pale Fire,Vladimir Nabokov,"Nabokov, Vladimir",,"=""""","=""""",0,4.14,Penguin Books Ltd,Paperback,246,2000,1962,,2016/03/22,to-read,to-read (#84),to-read,,,,0,,,0,,,,,
18452,The Painted Bird,Jerzy Kosiński,"Kosiński, Jerzy",,"=""080213422X""","=""9780802134226""",0,3.91,Grove Press,Paperback,234,1995,1965,,2016/03/22,to-read,to-read (#83),to-read,,,,0,,,0,,,,,
14836,Midnight's Children,Salman Rushdie,"Rushdie, Salman",,"=""0099578514""","=""9780099578512""",0,3.98,Vintage,Paperback,647,1995,1981,,2016/03/22,to-read,to-read (#82),to-read,,,,0,,,0,,,,,
395182,Lucky Jim,Kingsley Amis,"Amis, Kingsley",David Lodge,"=""0140186301""","=""9780140186307""",0,3.75,Penguin Classics,Paperback,251,1993,1954,,2016/03/22,to-read,to-read (#81),to-read,,,,0,,,0,,,,,
7604,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Craig Raine,"=""""","=""""",0,3.88,Penguin,Paperback,331,1995,1955,,2016/03/22,to-read,to-read (#80),to-read,,,,0,,,0,,,,,
18765,"I, Claudius (Claudius, #1)",Robert Graves,"Graves, Robert",,"=""067972477X""","=""9780679724773""",0,4.23,Vintage,Paperback,468,1989,1934,,2016/03/22,to-read,to-read (#79),to-read,,,,0,,,0,,,,,
592657,Deliverance,James Dickey,"Dickey, James",,"=""038531387X""","=""9780385313872""",0,3.89,Delta,Paperback,288,1994,1970,,2016/03/22,to-read,to-read (#78),to-read,,,,0,,,0,,,,,
227463,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,"=""""","=""""",0,4.00,W. W. Norton & Company,Paperback,192,1986,1962,,2016/03/22,to-read,to-read (#77),to-read,,,,0,,,0,,,,,
16810,The Berlin Stories,Christopher Isherwood,"Isherwood, Christopher",,"=""0811200701""","=""9780811200707""",0,4.04,New Directions Publishing Corporation,Paperback,401,1963,1945,,2016/03/22,to-read,to-read (#76),to-read,,,,0,,,0,,,,,
6867,Atonement,Ian McEwan,"McEwan, Ian",,"=""038572179X""","=""9780385721790""",0,3.92,Anchor Books,Paperback,351,2003,2001,,2016/03/22,to-read,to-read (#75),to-read,,,,0,,,0,,,,,
126583,Appointment in Samarra,John O'Hara,"O'Hara, John",,"=""0375719202""","=""9780375719202""",0,3.82,Vintage,Paperback,251,2003,1934,,2016/03/22,to-read,to-read (#74),to-read,,,,0,,,0,,,,,
5527,All the King's Men,Robert Penn Warren,"Warren, Robert Penn",,"=""""","=""""",0,4.07,Harcourt Brace,Paperback,439,1996,1946,,2016/03/22,to-read,to-read (#73),to-read,,,,0,,,0,,,,,
35743,The Tin Drum,Günter Grass,"Grass, Günter",Ralph Manheim,"=""0099483505""","=""9780099483502""",0,3.95,Vintage,Paperback,580,2005,1959,,2016/03/22,to-read,to-read (#72),to-read,,,,0,,,0,,,,,
46170,For Whom the Bell Tolls,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",0,3.97,Scribner,Paperback,471,1995,1940,,2016/03/22,to-read,to-read (#71),to-read,,,,0,,,0,,,,,
88077,The Magic Mountain,Thomas Mann,"Mann, Thomas",John E. Woods,"=""0679772871""","=""9780679772873""",0,4.11,Vintage,Paperback,706,1996,1924,,2016/03/22,to-read,to-read (#70),to-read,,,,0,,,0,,,,,
168668,Catch-22,Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",0,3.98,Simon & Schuster ,Paperback,453,2004,1961,,2016/03/22,to-read,to-read (#69),to-read,,,,0,,,0,,,,,
49628,Cloud Atlas,David Mitchell,"Mitchell, David",,"=""0375507256""","=""9780375507250""",0,4.00,Random House,Paperback,509,2004,2004,,2016/03/22,to-read,to-read (#68),to-read,,,,0,,,0,,,,,
17182126,"Steelheart (The Reckoners, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0385743564""","=""9780385743563""",0,4.14,Delacorte Press,Hardcover,386,2013,2013,,2016/03/22,to-read,to-read (#67),to-read,,,,0,,,0,,,,,
